run,architecture,loss_fn,optimizer,mse,r2,best_val_loss,weight_file
"C_[128, 64, 32]_lossSmoothL1_optAdam","[128, 64, 32]",SmoothL1,Adam,0.25361,0.80648,0.08353,"lab2_weights/C_[128, 64, 32]_lossSmoothL1_optAdam.pt"
"C_[128, 64, 32]_lossMSE_optAdam","[128, 64, 32]",MSE,Adam,0.25525,0.80522,0.190185,"lab2_weights/C_[128, 64, 32]_lossMSE_optAdam.pt"
"C_[128, 64, 32]_lossMSE_optSGD","[128, 64, 32]",MSE,SGD,0.28673,0.78121,0.21294,"lab2_weights/C_[128, 64, 32]_lossMSE_optSGD.pt"
"A_[16, 8]_lossMSE_optAdam","[16, 8]",MSE,Adam,0.30557,0.76683,0.217017,"lab2_weights/A_[16, 8]_lossMSE_optAdam.pt"
"A_[16, 8]_lossSmoothL1_optAdam","[16, 8]",SmoothL1,Adam,0.31033,0.7632,0.100067,"lab2_weights/A_[16, 8]_lossSmoothL1_optAdam.pt"
B_[64]_lossMSE_optAdam,[64],MSE,Adam,0.31139,0.76239,0.22459,lab2_weights/B_[64]_lossMSE_optAdam.pt
B_[64]_lossSmoothL1_optAdam,[64],SmoothL1,Adam,0.31748,0.75774,0.102124,lab2_weights/B_[64]_lossSmoothL1_optAdam.pt
"C_[128, 64, 32]_lossSmoothL1_optSGD","[128, 64, 32]",SmoothL1,SGD,0.32195,0.75433,0.104742,"lab2_weights/C_[128, 64, 32]_lossSmoothL1_optSGD.pt"
"A_[16, 8]_lossMSE_optSGD","[16, 8]",MSE,SGD,0.33469,0.74461,0.233256,"lab2_weights/A_[16, 8]_lossMSE_optSGD.pt"
B_[64]_lossMSE_optSGD,[64],MSE,SGD,0.34409,0.73744,0.243443,lab2_weights/B_[64]_lossMSE_optSGD.pt
"A_[16, 8]_lossSmoothL1_optSGD","[16, 8]",SmoothL1,SGD,0.3756,0.71339,0.12076,"lab2_weights/A_[16, 8]_lossSmoothL1_optSGD.pt"
B_[64]_lossSmoothL1_optSGD,[64],SmoothL1,SGD,0.3926,0.70042,0.123773,lab2_weights/B_[64]_lossSmoothL1_optSGD.pt
